"project_name","was_td_removed","epoch_interval","comment_classification"
"Tomcat",1,111515426,"DESIGN"
"Tomcat",0,249798723.829478,"DESIGN"
"Tomcat",0,15437431.829478,"DESIGN"
"Tomcat",1,119382012,"DESIGN"
"Tomcat",1,1121,"DESIGN"
"Tomcat",0,315539440.829478,"DESIGN"
"Tomcat",0,59185123.829478,"DESIGN"
"Tomcat",0,59185123.829478,"DESIGN"
"Tomcat",1,59052766,"DESIGN"
"Tomcat",0,315539440.829478,"DESIGN"
"Tomcat",1,559750,"DESIGN"
"Tomcat",0,205615864.829478,"DESIGN"
"Tomcat",0,315539440.829478,"DESIGN"
"Tomcat",0,314981344.829478,"DESIGN"
"Tomcat",1,46923233,"DESIGN"
"Tomcat",1,180663024,"DESIGN"
"Tomcat",0,6576178.829478,"DESIGN"
"Tomcat",0,315539440.829478,"DESIGN"
"Tomcat",1,239774544,"DESIGN"
"Tomcat",0,90569184.829478,"DESIGN"
"Tomcat",0,95317956.829478,"DESIGN"
"Tomcat",1,9202728,"DESIGN"
"Tomcat",0,315539440.829478,"DESIGN"
"Tomcat",0,314981344.829478,"DESIGN"
"Tomcat",1,4405454,"DESIGN"
"Tomcat",0,86672995.829478,"DESIGN"
"Tomcat",0,10865420.829478,"DESIGN"
"Tomcat",1,308989182,"DESIGN"
"Tomcat",1,4731,"DESIGN"
"Tomcat",1,90461721,"DESIGN"
"Tomcat",1,155371910,"DESIGN"
"Tomcat",1,609399,"DESIGN"
"Tomcat",1,15079119,"DESIGN"
"Tomcat",1,61787,"DESIGN"
"Tomcat",1,17860371,"DESIGN"
"Tomcat",1,76248,"DESIGN"
"Tomcat",1,3359,"DESIGN"
"Tomcat",1,35927106,"DESIGN"
"Tomcat",1,761,"DESIGN"
"Tomcat",1,9132366,"DESIGN"
"Tomcat",1,25599547,"DESIGN"
"Tomcat",0,149552381.829478,"DESIGN"
"Tomcat",0,41734175.829478,"DESIGN"
"Tomcat",0,6576178.829478,"DESIGN"
"Tomcat",0,315539440.829478,"DESIGN"
"Tomcat",0,315539440.829478,"DESIGN"
"Tomcat",0,106340775.829478,"DESIGN"
"Tomcat",0,100489128.829478,"DESIGN"
"Tomcat",1,37668,"DESIGN"
"Tomcat",1,2352921,"DESIGN"
"Tomcat",0,25993927.829478,"DESIGN"
"Tomcat",1,182170186,"DESIGN"
"Tomcat",1,26061137,"DESIGN"
"Tomcat",1,69020808,"DESIGN"
"Tomcat",1,240611565,"DESIGN"
"Tomcat",0,107204304.829478,"DESIGN"
"Tomcat",1,7072580,"DESIGN"
"Tomcat",0,148709030.829478,"DESIGN"
"Tomcat",1,17549519,"DESIGN"
"Tomcat",0,59185123.829478,"DESIGN"
"Tomcat",0,199144477.829478,"DESIGN"
"Tomcat",0,82977750.829478,"DESIGN"
"Tomcat",0,315539440.829478,"DESIGN"
"Tomcat",0,81321845.829478,"DESIGN"
"Tomcat",1,124060609,"DESIGN"
"Tomcat",1,86228331,"DESIGN"
"Tomcat",1,171645194,"DESIGN"
"Tomcat",1,155371910,"DESIGN"
"Tomcat",0,201645344.829478,"DESIGN"
"Tomcat",0,314981344.829478,"DESIGN"
"Tomcat",1,5929966,"DESIGN"
"Tomcat",1,35927106,"DESIGN"
"Tomcat",1,761,"DESIGN"
"Tomcat",0,302566577.829478,"DESIGN"
"Tomcat",1,717758,"DESIGN"
"Tomcat",1,95783595,"DESIGN"
"Tomcat",1,9903020,"DESIGN"
"Tomcat",1,422,"DESIGN"
"Tomcat",1,26489,"DESIGN"
"Tomcat",0,81290507.829478,"DESIGN"
"Tomcat",1,717758,"DESIGN"
"Tomcat",1,95783595,"DESIGN"
"Tomcat",1,139681,"DESIGN"
"Tomcat",1,23950,"DESIGN"
"Tomcat",1,101072433,"DESIGN"
"Tomcat",1,44667924,"DESIGN"
"Tomcat",0,315539440.829478,"DESIGN"
"Tomcat",1,99697143,"DESIGN"
"Tomcat",1,1466361,"DESIGN"
"Tomcat",1,235266911,"DESIGN"
"Tomcat",1,5004400,"DESIGN"
"Tomcat",1,35927106,"DESIGN"
"Tomcat",0,25580861.829478,"DESIGN"
"Tomcat",1,3359,"DESIGN"
"Tomcat",0,40602437.829478,"DESIGN"
"Tomcat",1,1119808,"DESIGN"
"Tomcat",1,86902,"DESIGN"
"Tomcat",1,42,"DESIGN"
"Tomcat",1,75291,"DESIGN"
"Tomcat",1,3159024,"DESIGN"
"Tomcat",1,2957,"DESIGN"
"Tomcat",0,55042605.829478,"DESIGN"
"Tomcat",0,89095845.829478,"DESIGN"
"Tomcat",0,186121245.829478,"DESIGN"
"Tomcat",1,95419,"DESIGN"
"Tomcat",1,55792463,"DESIGN"
"Tomcat",1,49215541,"DESIGN"
"Tomcat",1,102471783,"DESIGN"
"Tomcat",1,99365382,"DESIGN"
"Tomcat",1,31582,"DESIGN"
"Tomcat",1,25971483,"DESIGN"
"Tomcat",1,150822620,"DESIGN"
"Tomcat",1,155371593,"DESIGN"
"Tomcat",1,39,"DESIGN"
"Tomcat",1,9994738,"DESIGN"
"Tomcat",1,15463357,"DESIGN"
"Tomcat",1,5106856,"DESIGN"
"Tomcat",1,106377,"DESIGN"
"Tomcat",1,23432619,"DESIGN"
"Tomcat",1,761,"DESIGN"
"Tomcat",1,19977562,"DESIGN"
"Tomcat",1,95783595,"DESIGN"
"Tomcat",1,95783595,"DESIGN"
"Tomcat",0,3114365.829478,"DESIGN"
"Tomcat",0,6482922.829478,"DESIGN"
"Tomcat",0,315539440.829478,"DESIGN"
"Tomcat",0,59185123.829478,"DESIGN"
"Tomcat",0,133131654.829478,"DESIGN"
"Tomcat",0,205615864.829478,"DESIGN"
"Tomcat",0,201645344.829478,"DESIGN"
"Tomcat",0,315539440.829478,"DESIGN"
"Tomcat",0,315539440.829478,"DESIGN"
"Tomcat",1,80347944,"DESIGN"
"Tomcat",0,302566577.829478,"DESIGN"
"Tomcat",0,302566577.829478,"DESIGN"
"Tomcat",0,47419857.829478,"DESIGN"
"Tomcat",0,205615864.829478,"DESIGN"
"Tomcat",0,95838877.829478,"DESIGN"
"Tomcat",1,8116,"DESIGN"
"Tomcat",0,78524244.829478,"DESIGN"
"Tomcat",0,87160098.829478,"DESIGN"
"Tomcat",0,126555220.829478,"DESIGN"
"Tomcat",0,6399058.829478,"DESIGN"
"Tomcat",0,196058030.829478,"DESIGN"
"Tomcat",1,168807,"DESIGN"
"Tomcat",1,1023158,"DESIGN"
"Tomcat",0,45885961.829478,"DESIGN"
"Tomcat",1,175861205,"DESIGN"
"Tomcat",0,307908764.829478,"DESIGN"
"Tomcat",0,201291985.829478,"DESIGN"
"Tomcat",0,107459220.829478,"DESIGN"
"Tomcat",1,308989182,"DESIGN"
"Tomcat",0,298599430.829478,"DESIGN"
"Tomcat",0,59185123.829478,"DESIGN"
"Tomcat",0,315539440.829478,"DESIGN"
"Tomcat",0,315539440.829478,"DESIGN"
"Tomcat",0,59185123.829478,"DESIGN"
"Tomcat",0,59185123.829478,"DESIGN"
"Tomcat",0,6136831.829478,"DESIGN"
"Tomcat",1,497003,"DESIGN"
"Tomcat",1,89427,"DESIGN"
"Tomcat",0,237407508.829478,"DESIGN"
"Tomcat",1,309447598,"DESIGN"
"Tomcat",0,95838877.829478,"DESIGN"
"Tomcat",0,95838877.829478,"DESIGN"
"Tomcat",1,242392,"DESIGN"
"Tomcat",0,200596784.829478,"DESIGN"
"Tomcat",0,100812204.829478,"DESIGN"
"Tomcat",0,100812204.829478,"DESIGN"
"Tomcat",1,3359,"DESIGN"
"Tomcat",1,3045867,"DESIGN"
"Tomcat",1,114780738,"DESIGN"
"Tomcat",1,37820418,"DESIGN"
"Tomcat",0,77850174.829478,"DESIGN"
"Tomcat",0,25580861.829478,"DESIGN"
"Tomcat",1,2425134,"DESIGN"
"Tomcat",1,155371910,"DESIGN"
"Tomcat",1,198576766,"DESIGN"
"Tomcat",1,154764634,"DESIGN"
"Tomcat",1,152025540,"DESIGN"
"Tomcat",1,155371910,"DESIGN"
"Tomcat",1,15463467,"DESIGN"
"Tomcat",1,155370704,"DESIGN"
"Tomcat",1,184157313,"DESIGN"
"Tomcat",1,183788070,"DESIGN"
"Tomcat",1,35927106,"DESIGN"
"Tomcat",1,16439241,"DESIGN"
"Tomcat",0,315539440.829478,"DESIGN"
"Tomcat",0,29041578.829478,"DESIGN"
"Tomcat",1,9903020,"DESIGN"
"Tomcat",1,761,"DESIGN"
"Tomcat",1,152025540,"DESIGN"
"Tomcat",1,155371910,"DESIGN"
"Tomcat",1,693359,"DESIGN"
"Tomcat",0,84828998.829478,"DESIGN"
"Tomcat",0,315539440.829478,"DESIGN"
"Tomcat",0,23768300.829478,"DESIGN"
"Tomcat",0,76608912.829478,"DESIGN"
"Tomcat",1,8015697,"DESIGN"
"Tomcat",1,78385173,"DESIGN"
"Tomcat",0,86837335.829478,"DESIGN"
"Tomcat",0,315539440.829478,"DESIGN"
"Tomcat",1,36442210,"DESIGN"
"Tomcat",1,23432619,"DESIGN"
"Tomcat",1,277521301,"DESIGN"
"Tomcat",1,51503444,"DESIGN"
"Tomcat",0,6576178.829478,"DESIGN"
"Tomcat",0,99358356.829478,"DESIGN"
"Tomcat",0,201291985.829478,"DESIGN"
"Tomcat",1,106684,"DESIGN"
"Tomcat",0,315539440.829478,"DESIGN"
"Tomcat",0,6659780.829478,"DESIGN"
"Tomcat",1,82919118,"DESIGN"
"Tomcat",1,5,"DESIGN"
"Tomcat",1,169553136,"DESIGN"
"Tomcat",1,114661856,"DESIGN"
"Tomcat",1,3763,"DESIGN"
"Tomcat",1,89621213,"DESIGN"
"Tomcat",1,8187676,"DESIGN"
"Tomcat",1,606966,"DESIGN"
"Tomcat",1,198576766,"DESIGN"
"Tomcat",1,7406800,"DESIGN"
"Tomcat",1,693359,"DESIGN"
"Tomcat",1,154764634,"DESIGN"
"Tomcat",1,155371910,"DESIGN"
"Tomcat",1,154764634,"DESIGN"
"Tomcat",1,25342192,"DESIGN"
"Tomcat",1,70651718,"DESIGN"
"Tomcat",1,15463467,"DESIGN"
"Tomcat",1,23432619,"DESIGN"
"Tomcat",1,179096,"DESIGN"
"Tomcat",1,118805667,"DESIGN"
"Tomcat",1,17724173,"DESIGN"
"Tomcat",1,181969,"DESIGN"
"Tomcat",1,36646149,"DESIGN"
"Tomcat",1,595940,"DESIGN"
"Tomcat",1,3359,"DESIGN"
"Tomcat",1,3359,"DESIGN"
"Tomcat",1,9132366,"DESIGN"
"Tomcat",1,129358450,"DESIGN"
"Tomcat",1,86902,"DESIGN"
"Tomcat",1,124197409,"DESIGN"
"Tomcat",1,37820418,"DESIGN"
"Tomcat",1,139992211,"DESIGN"
"Tomcat",1,155371910,"DESIGN"
"Tomcat",1,155371910,"DESIGN"
"Tomcat",1,611932,"DESIGN"
"Tomcat",1,1429818,"DESIGN"
"Tomcat",1,25498364,"DESIGN"
"Tomcat",1,761,"DESIGN"
"Tomcat",1,19977562,"DESIGN"
"Tomcat",1,717758,"DESIGN"
"Tomcat",1,717758,"DESIGN"
"Tomcat",1,7282310,"DESIGN"
"Tomcat",1,37820418,"DESIGN"
"Tomcat",1,95784230,"DESIGN"
"Tomcat",1,171713446,"DESIGN"
"Tomcat",1,78849163,"DESIGN"
"Tomcat",1,6223813,"DESIGN"
"Tomcat",1,116369379,"DESIGN"
"Tomcat",1,79090,"DESIGN"
"Tomcat",1,198442379,"DESIGN"
"Tomcat",1,140211407,"DESIGN"
"Tomcat",1,1629,"DESIGN"
"Tomcat",1,103348,"DESIGN"
"Tomcat",1,13914560,"DESIGN"
"Tomcat",1,40425729,"DESIGN"
"Tomcat",1,102471783,"DESIGN"
"Tomcat",1,175801866,"DESIGN"
"Tomcat",1,153189532,"DESIGN"
"Tomcat",1,7072580,"DESIGN"
"Tomcat",1,761,"DESIGN"
"Tomcat",1,25483436,"DESIGN"
"Tomcat",1,26280936,"DESIGN"
"Tomcat",1,157140919,"DESIGN"
"Tomcat",1,106377,"DESIGN"
"Tomcat",1,693359,"DESIGN"
"Tomcat",1,95783595,"DESIGN"
"Tomcat",1,92594334,"DESIGN"
"Tomcat",1,1076965,"DESIGN"
"Tomcat",1,4041633,"DESIGN"
"Tomcat",1,621,"DESIGN"
"Tomcat",1,14247711,"DESIGN"
"Tomcat",1,519031,"DESIGN"
"Tomcat",1,4356073,"DESIGN"
"Tomcat",1,36455499,"DESIGN"
"Tomcat",1,122867457,"DESIGN"
"Tomcat",1,132816234,"DESIGN"
"Tomcat",1,4,"DESIGN"
"Tomcat",1,61227,"DESIGN"
"Tomcat",1,127010045,"DESIGN"
"Tomcat",1,187173,"DESIGN"
"Tomcat",1,107376780,"DESIGN"
"Tomcat",1,11137925,"DESIGN"
"Tomcat",1,527839,"DESIGN"
"Tomcat",1,18398,"DESIGN"
"Tomcat",1,224210,"DESIGN"
"Tomcat",1,7949664,"DESIGN"
"Tomcat",1,7949664,"DESIGN"
"Tomcat",1,3611891,"DESIGN"
"Tomcat",1,65206501,"DESIGN"
"Tomcat",1,105187147,"DESIGN"
"Tomcat",1,6160250,"DESIGN"
"Tomcat",1,3359,"DESIGN"
"Tomcat",1,17388863,"DESIGN"
"Tomcat",1,63347,"DESIGN"
"Tomcat",1,8211,"DESIGN"
"Tomcat",1,23555,"DESIGN"
"Tomcat",1,154764634,"DESIGN"
"Tomcat",1,2739094,"DESIGN"
"Tomcat",1,155371910,"DESIGN"
"Tomcat",1,103667695,"DESIGN"
"Tomcat",1,155371593,"DESIGN"
"Tomcat",1,155371910,"DESIGN"
"Tomcat",1,15466003,"DESIGN"
"Tomcat",1,198576766,"DESIGN"
"Tomcat",1,26280936,"DESIGN"
"Tomcat",1,14247711,"DESIGN"
"Tomcat",1,153899496,"DESIGN"
"Tomcat",1,17933005,"DESIGN"
"Tomcat",1,35927106,"DESIGN"
"Tomcat",1,23432619,"DESIGN"
"Tomcat",1,5106856,"DESIGN"
"Tomcat",1,95783595,"DESIGN"
"Tomcat",1,23432619,"DESIGN"
"Tomcat",1,761,"DESIGN"
"Tomcat",1,761,"DESIGN"
"Tomcat",1,20010149,"DESIGN"
"Tomcat",1,95783595,"DESIGN"
